City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,morecambe,54.0684,-2.8611,6.14,83,58,2.68,GB,1675702584
221,khasan,42.4308,130.6434,-5.78,81,43,1.77,RU,1675702585
222,luau,-10.7073,22.2247,19.61,89,91,1.35,AO,1675702585
223,bathsheba,13.2167,-59.5167,29.34,61,40,11.32,BB,1675702586
224,oistins,13.0667,-59.5333,29.05,61,40,11.32,BB,1675702587
225,alofi,-19.0595,-169.9187,24.94,94,100,3.6,NU,1675702589
226,poum,-20.2333,164.0167,27.79,81,100,6.89,NC,1675702590
227,champerico,14.3,-91.9167,29.3,66,0,2.55,GT,1675702591
228,funadhoo,6.15,73.2667,27.26,74,93,3.9,MV,1675702592
229,sobolevo,54.4299,31.8996,-4.65,97,100,1.54,RU,1675702593
230,san carlos de bariloche,-41.1456,-71.3082,24.58,23,0,3.6,AR,1675702594
231,humaita,-7.5061,-63.0208,28.29,81,95,0.91,BR,1675702571
232,serebryansk,49.6925,83.2892,-9.27,96,88,1.39,KZ,1675702595
233,mwinilunga,-11.7358,24.4293,17.6,96,79,1.75,ZM,1675702596
234,hithadhoo,-0.6,73.0833,27.52,69,47,4.97,MV,1675702596
235,leh,34.1667,77.5833,-12.74,88,73,1.33,IN,1675702596
236,torbay,47.6666,-52.7314,5.22,94,100,6.69,CA,1675702597
237,sovetskiy,61.3614,63.5842,-24.76,100,87,1.87,RU,1675702597
238,meulaboh,4.1363,96.1285,23.5,92,100,3.11,ID,1675702336
239,athens,37.9795,23.7162,4.62,76,75,3.09,GR,1675702598
240,broken hill,-31.95,141.4333,22.74,32,12,4.46,AU,1675702598
241,suntar,62.1444,117.6319,-40.63,100,99,1.16,RU,1675702599
242,omsukchan,62.5333,155.8,-38.55,100,92,1.99,RU,1675702599
243,dunedin,-45.8742,170.5036,15.45,87,41,2.24,NZ,1675702600
244,kachug,53.9606,105.8817,-16.14,97,100,1.62,RU,1675702600
245,kuryk,43.2,51.65,6.57,62,85,6.14,KZ,1675702568
246,deputatskiy,69.3,139.9,-32.17,97,100,1.72,RU,1675702601
247,iwanai,42.9744,140.5089,-4.85,78,100,2.16,JP,1675702601
248,santa isabel,-23.3156,-46.2214,28.61,75,58,3.39,BR,1675702412
249,omboue,-1.5746,9.2618,27.38,75,93,3.21,GA,1675702602
250,cochrane,51.1834,-114.4687,-3.54,73,0,3.09,CA,1675702347
251,tautira,-17.7333,-149.15,26.75,77,29,7.43,PF,1675702602
252,princeton,25.5384,-80.4089,27.22,74,20,4.12,US,1675702518
253,lanivtsi,49.8633,26.0908,-6.36,90,94,2.44,UA,1675702603
254,kaitangata,-46.2817,169.8464,11.28,85,3,2.6,NZ,1675702603
255,tessalit,20.1986,1.0114,31.36,9,21,3.08,ML,1675702305
256,oriximina,-1.7656,-55.8661,30.33,58,66,1.42,BR,1675702315
257,nouadhibou,20.931,-17.0347,20.99,46,0,8.23,MR,1675702322
258,sao joao da barra,-21.6403,-41.0511,32.05,79,68,4.53,BR,1675702604
259,coahuayana,18.7333,-103.6833,29.68,39,2,2.27,MX,1675702604
260,khandyga,62.6667,135.6,-38.7,100,100,0.22,RU,1675702605
